rank,song,artist,genre,year
11,When You're Gone,Shawn Mendes,Pop,2022.0
12,Sun Will Shine,Robin Schulz & Tom Walker,Dance,2022.0
13,Crazy Love,Toby Romeo & Leony,Dance,2022.0
14,Do It Better (feat. Zoe Wees),Felix Jaehn,Dance,2022.0
15,Expresso & Tschianti,Josh.,Pop,2022.0
16,THE LONELIEST,Måneskin,Rock,2022.0
17,Ferrari,James Hype & Miggy Dela Rosa,Dance,2022.0
18,Green Green Grass,George Ezra,Singer/Songwriter,2022.0
19,Von dir ein Tattoo,Josh.,Pop,2022.0
20,Belly Dancer,Imanbek & BYOR,Dance,2022.0
21,West Coast,OneRepublic,Pop,2022.0
22,Irrelevant,P!nk,Pop,2022.0
23,Maybe You’re The Problem,Ava Max,Pop,2022.0
24,Samba,YouNotUs & Louis III,Dance,2022.0
25,Da geht noch mehr,Nockis,German Pop,2022.0
26,Segel im Wind,Peter Cornelius,Pop,2022.0
27,In The Dark,Purple Disco Machine & Sophie and the Giants,Dance,2022.0
28,Hopelessly Devoted to You,Olivia Newton-John,Musicals,2022.0
30,Wildberry Lillet,Nina Chuba,Hip Hop/Rap,2022.0
31,die sunn und di,Pizzera & Jaus,Pop,2022.0
32,Lover,Taylor Swift,Pop,2022.0
33,Bad Memories (feat. Elley Duhé & FAST BOY),Meduza & James Carter,Dance,2022.0
34,Einmal sehen wir uns wieder,Joel Brandenstein,Pop,2022.0
35,Little Stupid Boy,ARAI,Pop,2022.0
36,Easy Lover (Solo Version),Ellie Goulding,Pop,2022.0
37,Beat Automotivo Tan Tan Tan Viral,WZ Beat,Baile Funk,2022.0
38,Pizzica Tarantina,Terraròss & dominique antonacci,Pop,2022.0
39,Big Bad Wolf,Roses & Revolutions,Alternative,2022.0
40,What's Your Voodoo?,Ghia,Electronic,2022.0
41,Love Song,The Damned,Alternative,2022.0
42,BOYS,Aidan Martin,Pop,2022.0
43,As It Was (Spanish Version),Rothe C,Pop,2022.0
44,V noci se dějou věci,Like-It,Pop/Rock,2022.0
46,Somethin' Else (Live),Stray Cats,Rock,2022.0
47,Fromage collatéral (Demo),World Brain,Indie Pop,2022.0
48,Papi's Wishing Wheel (feat. Jaakko Eino Kalevi),The Zenmenn,Indie Pop,2022.0
49,My Mind,Kyle Walker,Dance,2022.0
50,As It Was (Japanese Version),Shayne Orok,Pop,2022.0
51,Shadow Werk (Scan 7 Remix),The AM,Electronic,2022.0
52,Like That,NUZB & Noola,House,2022.0
53,Eine Kugel reicht,Bushido,Rap,2022.0
54,Maremma,Dodo Hug & Efisio Contini,World,2022.0
55,Easy On Me (Radio Edit),Rain Paris,Rock,2022.0
56,First Time (feat. iann dior) [Kayzo Remix],ILLENIUM & Kayzo,Dance,2022.0
57,Ballo a contrabbando,Terraròss,World,2022.0
58,Tolon,Bassekou Kouyate & Hamza Rahimtula,Dance,2022.0
59,Blue Echo,Drehz,Instrumental,2022.0
60,Black Is the Night,The Damned,Alternative,2022.0
61,Street of Dreams,The Damned,Alternative,2022.0
62,Poor Butterfly,Philip Green and His Orchestra,Pop,2022.0
63,"Miroirs, M. 43: La vallée des cloches (Très lent) [arr. Grainger, 1944]",Sir Simon Rattle & City of Birmingham Symphony Orchestra,Classical,2022.0
64,Na sêre fûbbe criùse,Terraròss,World,2022.0
65,Dragon Prow,Free Moral Agents,Alternative,2022.0
66,Solaris,DJ Gregory,Dance,2022.0
67,Blurred Lines (feat. T.I. & Pharrell),Robin Thicke,Pop,2022.0
68,Ai Se Eu Te Pego (Ao Vivo),Michel Teló,Sertanejo,2022.0
69,Gangnam Style,PSY,Pop,2022.0
70,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground],Shakira,Pop,2022.0
71,And We Danced (feat. Ziggy Stardust),Macklemore,Hip Hop/Rap,2022.0
72,Ham kummst,Seiler und Speer,German Folk,2022.0
73,Somebody That I Used to Know (feat. Kimbra),Gotye,Alternative,2022.0
74,Bilder im Kopf,Sido,Hip Hop/Rap,2022.0
75,"Back In Time (From ""Men In Black III"")",Pitbull,Pop,2022.0
76,What You Mean,Leonard Pospichal & Robert Marcello,Rock,2022.0
77,Love the Way You Lie (feat. Rihanna),Eminem,Hip Hop/Rap,2022.0
78,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,Hip-Hop,2022.0
79,Happy (Oktoberfest Mix),Pharrell Williams,Pop,2022.0
80,Auf uns,Andreas Bourani,Pop,2022.0
81,We Are Young (feat. Janelle Monáe),Fun.,Alternative,2022.0
82,Tage wie diese,Die Toten Hosen,Rock,2022.0
83,Whistle,Flo Rida,Hip Hop/Rap,2022.0
84,I See Fire,Ed Sheeran,Soundtrack,2022.0
85,Nach dem Feiern gehen wir heiern,Olaf & Hans,German Pop,2022.0
86,Let Her Go,Passenger,Rock,2022.0
87,Impossible,James Arthur,Pop,2022.0
88,Danza Kuduro (feat. Don Omar) [Version MTO],Lucenzo,Dance,2022.0
89,Radioactive,Imagine Dragons,Pop,2022.0
90,Brenna tuats guat,Hubert von Goisern,Pop,2022.0
91,I Love It (feat. Charli XCX),Icona Pop,Pop,2022.0
92,Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,2022.0
93,Ma chérie (DJ Antoine vs Mad Mark 2k12 Radio Edit) [feat. The Beat Shakers],DJ Antoine,Dance,2022.0
94,Rosana,Wax,Pop,2022.0
95,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Pop,2022.0
96,Hey Brother,Avicii,House,2022.0
97,Timber (feat. Ke$ha),Pitbull,Pop,2022.0
1,Warrior,Oscar and the Wolf,Pop,2022.0
2,Noodgeval,Goldband,Pop,2022.0
3,I'm Good (Blue) [Extended],David Guetta & Bebe Rexha,Dance,2022.0
5,Calm Down,Rema,World,2022.0
8,Better Off Alone,Berre,Pop,2022.0
9,Follow Me (DJ Jordan Extended Remix),"Derb, Mark Sherry & Space Frog",Dance,2022.0
11,DESPECHÁ,ROSALÍA,Pop in Spanish,2022.0
13,Liquid Is Liquid (Extended Mix),Alberto Remondini & Sergio Marini,Dance,2022.0
14,Call on me (feat. Ed Sheeran),Vianney,French Pop,2022.0
15,Million Dollar Baby,Ava Max,Pop,2022.0
16,Alles,S.van Samang,Pop,2022.0
17,HISTORY,Joel Corry & Becky Hill,Dance,2022.0
18,abcdefu,GAYLE,Pop,2022.0
19,Uit Mijn Hoofd,Pauline,Pop,2022.0
20,B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,Dance,2022.0
21,Dovy Keukens Hardcore Remix,POMBAK,Hardcore,2022.0
22,Kwijt,Suzan & Freek,Pop,2022.0
24,Afraid To Feel,LF SYSTEM,Dance,2022.0
26,Vleugels,K3,Pop,2022.0
29,Show Your Love,"Nils van Zandt, AMARI & Mr. Jim",Dance,2022.0
31,Wat Een Idee!?,Pommelien Thijs,Pop,2022.0
32,Dance with Me,Kevin de Vries,Electronic,2022.0
33,All By Myself,"Alok, Sigala & Ellie Goulding",Dance,2022.0
34,Quando Quando (feat. Patrizia Ferrara),The Avener & Waldeck,Electronic,2022.0
35,Visstick Gooi Die Kanker Kick,Natte Visstick,Dance,2022.0
38,Spoor 5,Natte Visstick,Dance,2022.0
39,Vivre,Michel Berger,French Pop,2022.0
40,Water (feat. Clara La San),Bicep,Electronic,2022.0
41,Eye of the Tiger,Survivor,Soundtrack,2022.0
42,Hijo de la luna,Mecano,Pop,2022.0
43,Jerusalema (feat. Nomcebo Zikode) [Edit],Master KG,Dance,2022.0
45,Follow the Sun,Xavier Rudd,Alternative,2022.0
46,Demasiado Corazon (Too Much Heart),Mink DeVille,Pop,2022.0
47,Dat Heb Jij Gedaan,MEAU,Pop,2022.0
50,Where Did You Go?,Jax Jones & MNEK,Dance,2022.0
51,In De Regen,Camille,Pop,2022.0
53,Here I Go Again,Whitesnake,Hard Rock,2022.0
54,Bewegen Is Gezond,Kinderen Voor Kinderen,Pop,2022.0
55,Sweet Child O' Mine,Guns N' Roses,Hard Rock,2022.0
56,Uit Mijn Hoofd (De Bromeo's Remix),Pauline,Dance,2022.0
57,Say My Name,Berre,Pop,2022.0
58,Over You,"Sharam Jey, Celestal & Moss Kena",Electronic,2022.0
60,Drugs From Amsterdam,Mau P,Dance,2022.0
61,La recette,Slimane,French Pop,2022.0
62,B.O.T.A. (Baddest Of Them All) [Edit],Eliza Rose & Interplanetary Criminal,Dance,2022.0
63,Stay With Me,"Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams",Dance,2022.0
65,Blind Op Zoek (Trapagas),Jinho 9,Hip Hop/Rap,2022.0
66,Secret,Louane,French Pop,2022.0
67,Tout savoir,Adé,French Pop,2022.0
68,Believe (feat. Goodboys),Acraze,Dance,2022.0
69,KU LO SA - A COLORS SHOW,Oxlade,Hip Hop/Rap,2022.0
70,Baraye,Shervin Hajiaghapour,R&B/Soul,2022.0
