track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4
3qaH5D6Om5rEMzt4vOxcfE,Mark Mendy,Rubberband,0.741,0.754,6,-5.378,1,0.0897,0,0.15,0.885,120.046,146000,4
0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,0.513,0.796,1,-4.075,1,0.0629,0.000209,0.0938,0.345,171.017,201573,4
6WgnoqNpd2LAANRsEaqOoo,Alex Su,Self Destruct Mode,0.542,0.48,4,-11.091,0,0.0282,0,0.104,0.266,90.0,260000,4
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4
6tXiuhgWYGTA3Am1gmL8kV,WYATT,Okay,0.636,0.605,5,-4.96,1,0.0375,0,0.147,0.338,143.025,245874,4
7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,0.585,0.436,10,-8.761,1,0.0601,1.31e-05,0.105,0.132,143.874,242014,4
0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0,0.133,0.13,141.981,224695,4
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0,0.105,0.446,109.891,182161,4
6FEc2YbXsy7yxg4LkRkqEr,3LetterzNUK,I Wonder,0.632,0.398,10,-13.233,1,0.254,0,0.112,0.319,162.032,260718,4
27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,0.662,0.413,0,-7.357,1,0.0299,0,0.134,0.467,93.005,161385,4
4xG1egDLS0WxscEhf7eSL1,MASN,Crush,0.497,0.836,9,-6.41,1,0.0962,2.44e-06,0.192,0.542,173.94,160667,4
3BZEcbdtXQSo7OrvKRJ6mb,Lil Nas X,MONTERO (Call Me By Your Name),0.61,0.508,8,-6.682,0,0.152,0,0.384,0.758,178.818,137876,4
1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,0.826,0.593,6,-6.401,0,0.0976,0.000161,0.17,0.541,98.083,209755,4
0ZBOTR8MTfutFjNcOujYSL,Kid Travis,i live with a ghost - Live,0.747,0.449,8,-6.91,1,0.0347,0.000394,0.218,0.864,130.084,192000,4
6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,0.794,0.793,11,-4.521,0,0.0842,0,0.0952,0.677,123.941,183290,4
5bRGtuu90GEH5Abl3pHX32,Mark Mendy,Now or Never,0.777,0.807,4,-4.967,1,0.0707,0,0.126,0.874,125.002,179520,4
3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,I Don't Care (with Justin Bieber),0.798,0.675,6,-5.041,1,0.0442,0,0.0894,0.842,101.956,219947,4
3DarAbFujv6eYNliUTyqtz,Doja Cat,Kiss Me More (feat. SZA),0.764,0.705,8,-3.463,1,0.0284,8.92e-05,0.12,0.781,110.97,208667,4
4FNQbYYqsrA5ZvnIUb7LPu,Véyah,Love Nwantiti (Remix),0.7,0.677,6,-6.179,0,0.0615,0.00352,0.151,0.58,90.077,120377,4
7igeByaBM0MgGsgXtNxDJ7,Ariana Grande,positions,0.736,0.802,0,-4.759,1,0.0864,0,0.094,0.675,144.005,172325,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,0.733,0.69,9,-5.529,0,0.0427,1.18e-06,0.105,0.31,116.992,184613,4
1gKDstFnwZNgvrE01YG7AA,Henny Hermes,Lost Me,0.743,0.55,1,-9.322,1,0.0959,0,0.128,0.285,87.973,155156,4
7hxHWCCAIIxFLCzvDgnQHX,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.8,0.658,1,-6.142,0,0.079,0,0.111,0.462,140.042,195429,4
3VT8hOC5vuDXBsHrR53WFh,Masked Wolf,Astronaut In The Ocean,0.778,0.695,4,-6.865,0,0.0913,0,0.15,0.472,149.996,132780,4
6N76WodZTw48txfk4NPDVg,ARIA,Broken Hearted,0.716,0.639,7,-4.622,1,0.0568,0,0.188,0.689,92.052,125508,4
7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,11,-7.956,1,0.164,0,0.101,0.497,89.977,181733,4
0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,0.896,0.586,10,-6.687,0,0.0559,0,0.79,0.642,116.971,196653,4
73YZBAjftwdto5Er183DDk,ARIA,Watch It Burn,0.525,0.471,3,-10.292,0,0.0327,1.02e-06,0.121,0.188,74.996,162000,4
1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.753,0.498,2,-5.61,1,0.0504,0,0.0706,0.927,89.95,158053,4
4VginDwYTP2eaHJzO0QMjG,Post Malone,Circles,0.704,0.758,0,-3.537,1,0.0402,0.00144,0.0924,0.534,120.003,214907,4
